1 [('1196', 19.434477326451486), ('588', 18.40953104800188), ('1198', 17.605988173265253), ('595', 17.37353191289571), ('364', 16.24170696276926), ('2096', 15.58286559055442), ('318', 13.98574897177668), ('1270', 13.491145712196033), ('589', 13.150066993908883), ('1032', 12.318375983014016)] 
2 [('1198', 29.13938797234213), ('2916', 28.560429600116162), ('1580', 28.343757632284298), ('648', 27.590704242397226), ('377', 27.16447361911193), ('260', 26.738771808640664), ('1610', 26.703874275495536), ('608', 26.145701005064332), ('733', 24.690396954573032), ('1036', 18.90862626768337)] 
3 [('1196', 22.936770347103565), ('589', 18.187622745610582), ('1198', 17.587449242902192), ('2571', 15.077447093213369), ('2916', 13.73142838731489), ('2918', 13.658848380120473), ('480', 13.26652002472439), ('2716', 12.684765542614198), ('1036', 12.33921521300709), ('1307', 12.142496602317712)] 
4 [('1196', 20.425677484628956), ('1240', 19.38030577384123), ('2571', 18.699027315930294), ('589', 18.542019790666576), ('1200', 13.652373135120085), ('480', 12.549788209439836), ('858', 12.036823911650862), ('1291', 12.036365447877923), ('1610', 11.256167728508812), ('457', 11.251597066576457)] 
5 [('457', 33.331000010528676), ('589', 32.653180124682315), ('1265', 30.769608173912804), ('2858', 28.83441151756096), ('2571', 28.408014499343047), ('593', 25.93323903585304), ('1089', 24.96031274257813), ('2028', 24.286984162933518), ('1196', 21.109230948768396), ('2599', 18.900553488698883)] 
6 [('594', 16.02339660505656), ('2080', 13.99463057094864), ('1282', 13.635275900994822), ('2096', 13.097184958747194), ('1022', 12.45102005956689), ('919', 10.669483295142639), ('1029', 10.279489645126949), ('1307', 9.205805466667623), ('1265', 9.180589978809309), ('356', 8.871720840325187)] 
7 [('780', 28.146281844475833), ('2571', 25.351114135903956), ('1370', 24.2460737840951), ('2353', 16.032178400490196), ('1552', 14.615685263337086), ('1608', 13.454492543602651), ('1198', 13.440753906799765), ('2628', 13.244472786744216), ('1196', 12.408263218222126), ('260', 12.198776240009487)] 
8 [('1393', 42.859776698797546), ('608', 42.33785650013347), ('457', 38.15085202099529), ('1704', 37.71213121587905), ('318', 35.86828463559695), ('593', 29.880154983861473), ('1610', 27.986975607741158), ('780', 27.540989298502204), ('1196', 24.24294448278784), ('260', 21.802928477206525)] 
9 [('296', 42.852803893133974), ('318', 33.091493729377206), ('2028', 32.3021738520485), ('589', 27.220052036911017), ('50', 26.434824509006592), ('2571', 26.28960886395505), ('1196', 25.083385589771282), ('1580', 24.78498412295592), ('1198', 21.693539666217546), ('2858', 19.292814310840285)] 
10 [('589', 58.45017720339384), ('2174', 54.385749847903924), ('2916', 48.552635452424255), ('1198', 45.64136018048577), ('1097', 44.93911804037117), ('1210', 43.528441084629975), ('1197', 43.20332140091602), ('2640', 36.70662329362996), ('1200', 36.090078592142106), ('1527', 35.934959104195016)] 
11 [('1265', 36.51634717056618), ('296', 28.301115898180655), ('318', 24.4855452630944), ('2762', 24.437145273246653), ('589', 24.352003471341206), ('457', 23.63659600545577), ('2716', 23.34634525198211), ('1517', 23.14217417979087), ('1079', 23.017300880257363), ('1196', 21.99333110890322)] 
12 [('1196', 8.51963520162792), ('260', 6.850838572504546), ('912', 6.778601595230162), ('608', 6.67252119962165), ('1193', 6.413387842293929), ('1197', 5.919633316779221), ('1270', 5.901384243950295), ('1208', 5.506211241228824), ('1036', 5.289789331928638), ('1221', 5.213640202754462)] 
13 [('589', 39.40089582288009), ('780', 34.63423942849791), ('2571', 33.63244147979273), ('1240', 23.833703843335897), ('1036', 19.18364955209648), ('1200', 18.37600695591119), ('2105', 18.348985133378182), ('377', 17.118200048761253), ('1270', 16.682916973349748), ('733', 16.468000843301677)] 
14 [('318', 11.242396485275238), ('589', 10.28850290141924), ('50', 9.859913414692574), ('593', 9.459076420049712), ('1617', 8.917664597088889), ('1196', 8.805078944579954), ('3578', 8.276194203370794), ('2396', 7.925586798179592), ('2028', 6.977738757753494), ('2716', 6.785063787403615)] 
15 [('457', 51.089539762730745), ('589', 50.06895291925076), ('608', 37.77043118228324), ('2571', 36.80639816503086), ('377', 35.23036457888491), ('1393', 32.1147348684909), ('2916', 29.814111936914895), ('1265', 26.667690352634107), ('260', 26.626772468336238), ('50', 26.595749270859695)] 
16 [('2762', 10.250436241390029), ('2716', 9.914500880305694), ('2706', 8.655881266187043), ('2710', 8.410842182103606), ('480', 6.834514943030049), ('1580', 6.5779475186726515), ('2485', 5.9402122818565), ('1513', 5.845615528824234), ('1127', 5.293329628463959), ('2571', 4.714559781162459)] 
17 [('1200', 55.65518030726624), ('1580', 54.04393948085719), ('2985', 42.361479870356845), ('608', 38.33014490494675), ('1198', 33.38238620951452), ('296', 32.48774206710094), ('32', 32.20600353468763), ('457', 31.79245655595499), ('2028', 31.770177339294758), ('1375', 31.428114719967887)] 
18 [('480', 50.884140017072866), ('2571', 46.835436867920585), ('1210', 43.52503438436485), ('1580', 42.47445144120447), ('457', 40.97553225900285), ('2115', 40.49925609673234), ('608', 38.40308451033457), ('1265', 33.755805841504774), ('1610', 33.1873518022719), ('318', 29.76593589753406)] 
19 [('2571', 52.22424603996598), ('480', 49.40481291156191), ('2916', 46.105797211238695), ('1580', 41.85291684217311), ('780', 37.380715420475994), ('1270', 34.8320650338177), ('2762', 34.40013811266849), ('1200', 34.309016295967474), ('1197', 31.492551692973414), ('608', 29.35390675226468)] 
20 [('480', 15.645134514380509), ('1580', 14.91424609264669), ('2916', 13.797627969945022), ('1196', 13.385098670273564), ('1198', 13.12056604349962), ('608', 12.030538436400956), ('1610', 11.05487069934964), ('296', 10.442786930744592), ('780', 10.027490775058169), ('2628', 9.837354866019552)] 
21 [('1', 5.753035374026491), ('595', 4.837976808748155), ('2716', 4.788117127828469), ('2571', 4.479139747102132), ('1907', 4.028292662918981), ('1580', 4.002823314352951), ('480', 3.9122828185823124), ('364', 3.815412754143409), ('1265', 3.746197193161937), ('3114', 3.0546483254757826)] 
